breakdown,groep,year,n_totaal,variable,value,name,type
yearly_total,,2006,760590,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,380,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2007,760380,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,320,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2008,764520,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,300,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,270,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,260,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,300,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,270,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1020,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1110,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1200,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1220,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1270,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1140,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1220,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1180,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1190,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1200,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,1160,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_acute_beroerte_lbz_of_do_n_totaal_gebruikers,200,heeft_acute_beroerte_lbz_of_do,n_totaal_gebruikers
yearly_total,,2006,760590,heeft_diabetes_type_2_n_totaal_gebruikers,26130,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2007,760380,heeft_diabetes_type_2_n_totaal_gebruikers,27210,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2008,764520,heeft_diabetes_type_2_n_totaal_gebruikers,28260,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_diabetes_type_2_n_totaal_gebruikers,29880,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_diabetes_type_2_n_totaal_gebruikers,31290,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_diabetes_type_2_n_totaal_gebruikers,32630,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_diabetes_type_2_n_totaal_gebruikers,33210,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_diabetes_type_2_n_totaal_gebruikers,33820,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2014,829140,heeft_diabetes_type_2_n_totaal_gebruikers,34310,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2015,840240,heeft_diabetes_type_2_n_totaal_gebruikers,34570,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2016,850470,heeft_diabetes_type_2_n_totaal_gebruikers,34990,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2017,861440,heeft_diabetes_type_2_n_totaal_gebruikers,35160,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2018,872640,heeft_diabetes_type_2_n_totaal_gebruikers,35390,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2019,881570,heeft_diabetes_type_2_n_totaal_gebruikers,35530,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2020,891300,heeft_diabetes_type_2_n_totaal_gebruikers,35860,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2021,891210,heeft_diabetes_type_2_n_totaal_gebruikers,36970,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2022,900380,heeft_diabetes_type_2_n_totaal_gebruikers,38230,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2023,915280,heeft_diabetes_type_2_n_totaal_gebruikers,39890,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2024,930390,heeft_diabetes_type_2_n_totaal_gebruikers,41900,heeft_diabetes_type_2,n_totaal_gebruikers
yearly_total,,2006,760590,heeft_do_acute_beroerte_n_totaal_gebruikers,380,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2007,760380,heeft_do_acute_beroerte_n_totaal_gebruikers,320,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2008,764520,heeft_do_acute_beroerte_n_totaal_gebruikers,300,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2009,773110,heeft_do_acute_beroerte_n_totaal_gebruikers,270,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2010,785260,heeft_do_acute_beroerte_n_totaal_gebruikers,260,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2011,798130,heeft_do_acute_beroerte_n_totaal_gebruikers,300,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2012,808380,heeft_do_acute_beroerte_n_totaal_gebruikers,270,heeft_do_acute_beroerte,n_totaal_gebruikers
yearly_total,,2013,817760,heeft_do_acute_beroerte_n_totaal_gebruikers,250,heeft_do_acute_beroerte,n_totaal_gebruikers
