stadsdeel,order,long,lat
Centrum,0,4.881231,52.363268
Centrum,1,4.879378,52.364221
Centrum,2,4.879064,52.3655
Centrum,3,4.877513,52.36677
Centrum,4,4.877115,52.368053
Centrum,5,4.875669,52.369638
Centrum,6,4.874434,52.372199
Centrum,7,4.875378,52.373149
Centrum,8,4.875536,52.374215
Centrum,9,4.875847,52.374182
Centrum,10,4.879856,52.381219
Centrum,11,4.879609,52.381898
Centrum,12,4.880712,52.382646
Centrum,13,4.884479,52.388378
Centrum,14,4.885971,52.388129
Centrum,15,4.892069,52.388505
Centrum,16,4.892208,52.38819
Centrum,17,4.892361,52.388523
Centrum,18,4.895078,52.388691
Centrum,19,4.895872,52.386361
Centrum,20,4.896758,52.384886
Centrum,21,4.898659,52.383043
Centrum,22,4.901179,52.381562
Centrum,23,4.906,52.380106
Centrum,24,4.910588,52.379913
Centrum,25,4.911153,52.377636
Centrum,26,4.911979,52.377579
Centrum,27,4.911976,52.376796
Centrum,28,4.914112,52.376715
Centrum,29,4.923349,52.375244
Centrum,30,4.929891,52.373331
Centrum,31,4.932254,52.371961
Centrum,32,4.932968,52.370406
Centrum,33,4.932766,52.368905
Centrum,34,4.931582,52.366567
Centrum,35,4.927006,52.36643
Centrum,36,4.922114,52.363639
Centrum,37,4.919993,52.36327
Centrum,38,4.918387,52.362255
Centrum,39,4.911666,52.36123
Centrum,40,4.910214,52.360616
Centrum,41,4.908426,52.360616
Centrum,42,4.906166,52.359549
Centrum,43,4.898656,52.35799
Centrum,44,4.889918,52.358555
Centrum,45,4.887627,52.360103
Centrum,46,4.88439,52.361729
Centrum,47,4.881958,52.362118
Centrum,48,4.881231,52.363268
Nieuw-West,0,4.844788,52.352092
Nieuw-West,1,4.845541,52.352098
Nieuw-West,2,4.845642,52.346776
Nieuw-West,3,4.846078,52.346659
Nieuw-West,4,4.844575,52.345942
Nieuw-West,5,4.841938,52.34598
Nieuw-West,6,4.841941,52.34556
Nieuw-West,7,4.841632,52.345434
Nieuw-West,8,4.841497,52.343309
Nieuw-West,9,4.842002,52.339982
Nieuw-West,10,4.842578,52.339024
Nieuw-West,11,4.844401,52.338168
Nieuw-West,12,4.846966,52.338145
Nieuw-West,13,4.847089,52.336283
Nieuw-West,14,4.846219,52.334127
Nieuw-West,15,4.838334,52.331483
Nieuw-West,16,4.835552,52.331004
Nieuw-West,17,4.822126,52.330822
Nieuw-West,18,4.817122,52.326925
Nieuw-West,19,4.815436,52.327893
Nieuw-West,20,4.797766,52.335283
Nieuw-West,21,4.791781,52.341027
Nieuw-West,22,4.790541,52.341842
Nieuw-West,23,4.756653,52.35552
Nieuw-West,24,4.755314,52.356537
Nieuw-West,25,4.754837,52.357907
Nieuw-West,26,4.758575,52.371594
Nieuw-West,27,4.758047,52.375065
Nieuw-West,28,4.756434,52.377764
Nieuw-West,29,4.757256,52.377979
Nieuw-West,30,4.759125,52.379329
Nieuw-West,31,4.758943,52.38442
Nieuw-West,32,4.758006,52.38955
Nieuw-West,33,4.757867,52.396501
Nieuw-West,34,4.757482,52.396883
Nieuw-West,35,4.758285,52.399202
Nieuw-West,36,4.759364,52.398907
Nieuw-West,37,4.759813,52.400214
Nieuw-West,38,4.767405,52.399266
Nieuw-West,39,4.771245,52.398388
Nieuw-West,40,4.770626,52.397371
Nieuw-West,41,4.772985,52.394822
Nieuw-West,42,4.775004,52.399123
Nieuw-West,43,4.792708,52.39914
Nieuw-West,44,4.7957,52.39937
Nieuw-West,45,4.798403,52.400222
Nieuw-West,46,4.800037,52.400222
Nieuw-West,47,4.801138,52.399914
Nieuw-West,48,4.80208,52.399236
Nieuw-West,49,4.803571,52.396576
Nieuw-West,50,4.805405,52.39457
Nieuw-West,51,4.805982,52.394443
Nieuw-West,52,4.808545,52.395433
Nieuw-West,53,4.812452,52.393042
Nieuw-West,54,4.816173,52.39191
Nieuw-West,55,4.834917,52.392038
Nieuw-West,56,4.83557,52.392291
Nieuw-West,57,4.83579,52.395433
Nieuw-West,58,4.837887,52.395431
Nieuw-West,59,4.838849,52.396173
Nieuw-West,60,4.841759,52.395082
Nieuw-West,61,4.840659,52.394209
Nieuw-West,62,4.844312,52.395302
Nieuw-West,63,4.84412,52.393436
Nieuw-West,64,4.844807,52.385106
Nieuw-West,65,4.839252,52.385016
Nieuw-West,66,4.839272,52.382591
Nieuw-West,67,4.835331,52.373151
Nieuw-West,68,4.843032,52.372213
Nieuw-West,69,4.842563,52.369586
Nieuw-West,70,4.848353,52.369714
Nieuw-West,71,4.850381,52.365374
Nieuw-West,72,4.850492,52.364238
Nieuw-West,73,4.849182,52.364223
Nieuw-West,74,4.84951,52.360948
Nieuw-West,75,4.84888,52.360756
Nieuw-West,76,4.848928,52.355505
Nieuw-West,77,4.844735,52.355479
Nieuw-West,78,4.844788,52.352092
Noord,0,4.982117,52.370386
Noord,1,4.963716,52.379767
Noord,2,4.961574,52.381222
Noord,3,4.958408,52.382473
Noord,4,4.956706,52.38265
Noord,5,4.931082,52.38214
Noord,6,4.917497,52.380546
Noord,7,4.90868,52.379855
Noord,8,4.904308,52.380463
Noord,9,4.901179,52.381562
Noord,10,4.898659,52.383043
Noord,11,4.896758,52.384886
Noord,12,4.895872,52.386361
Noord,13,4.893655,52.392823
Noord,14,4.892002,52.394786
Noord,15,4.870985,52.410131
Noord,16,4.867097,52.412385
Noord,17,4.863873,52.413814
Noord,18,4.855712,52.416323
Noord,19,4.85947,52.419767
Noord,20,4.859867,52.420515
Noord,21,4.859724,52.42128
Noord,22,4.857907,52.423729
Noord,23,4.857924,52.424663
Noord,24,4.862454,52.428776
Noord,25,4.862677,52.429941
Noord,26,4.866691,52.430672
Noord,27,4.868743,52.430316
Noord,28,4.869697,52.429746
Noord,29,4.870741,52.430395
Noord,30,4.873337,52.429486
Noord,31,4.874112,52.427964
Noord,32,4.875967,52.426546
Noord,33,4.877666,52.425883
Noord,34,4.87952,52.42569
Noord,35,4.881808,52.426022
Noord,36,4.882977,52.425509
Noord,37,4.892458,52.425449
Noord,38,4.898406,52.424584
Noord,39,4.901886,52.423623
Noord,40,4.913594,52.418654
Noord,41,4.91569,52.418564
Noord,42,4.920441,52.416613
Noord,43,4.930384,52.412081
Noord,44,4.930716,52.411608
Noord,45,4.935142,52.41204
Noord,46,4.944069,52.414342
Noord,47,4.944975,52.415315
Noord,48,4.947789,52.421562
Noord,49,4.948526,52.421425
Noord,50,4.94971,52.421925
Noord,51,4.951481,52.42193
Noord,52,4.951632,52.422649
Noord,53,4.951332,52.423226
Noord,54,4.95277,52.423679
Noord,55,4.95261,52.423256
Noord,56,4.953602,52.422215
Noord,57,4.955878,52.42244
Noord,58,4.95595,52.421954
Noord,59,4.97332,52.422797
Noord,60,4.982636,52.426762
Noord,61,4.987101,52.422842
Noord,62,4.987769,52.423268
Noord,63,4.989184,52.423372
Noord,64,4.990406,52.424518
Noord,65,4.990445,52.425521
Noord,66,5.000157,52.425443
Noord,67,5.018205,52.41906
Noord,68,5.020314,52.419899
Noord,69,5.021155,52.421068
Noord,70,5.021611,52.421222
Noord,71,5.023559,52.420266
Noord,72,5.026501,52.420064
Noord,73,5.028357,52.419416
Noord,74,5.029728,52.417707
Noord,75,5.030045,52.415643
Noord,76,5.033468,52.416685
Noord,77,5.034405,52.417814
Noord,78,5.03547,52.418274
Noord,79,5.04259,52.416985
Noord,80,5.049177,52.415129
Noord,81,5.057757,52.416538
Noord,82,5.062556,52.416173
Noord,83,5.065413,52.417239
Noord,84,5.06827,52.416558
Noord,85,5.074262,52.413838
Noord,86,5.079162,52.388654
Noord,87,5.03768,52.375401
Noord,88,5.014436,52.369825
Noord,89,4.998743,52.368359
Noord,90,4.991403,52.368378
Noord,91,4.986537,52.369125
Noord,92,4.982117,52.370386
Oost,0,4.922309,52.363758
Oost,1,4.926931,52.366409
Oost,2,4.931582,52.366567
Oost,3,4.932888,52.369377
Oost,4,4.932966,52.370418
Oost,5,4.932392,52.371784
Oost,6,4.930186,52.373224
Oost,7,4.923788,52.375145
Oost,8,4.914112,52.376715
Oost,9,4.911976,52.376796
Oost,10,4.911979,52.377579
Oost,11,4.911153,52.377636
Oost,12,4.910588,52.379913
Oost,13,4.931082,52.38214
Oost,14,4.956706,52.38265
Oost,15,4.958408,52.382473
Oost,16,4.961574,52.381222
Oost,17,4.963893,52.379671
Oost,18,4.97974,52.371333
Oost,19,4.986537,52.369125
Oost,20,4.991403,52.368378
Oost,21,4.998743,52.368359
Oost,22,5.014436,52.369825
Oost,23,5.03768,52.375401
Oost,24,5.039057,52.354576
Oost,25,5.015899,52.348323
Oost,26,5.012381,52.344311
Oost,27,5.011997,52.343363
Oost,28,5.009527,52.342004
Oost,29,5.008289,52.341847
Oost,30,5.004106,52.342575
Oost,31,5.000718,52.342203
Oost,32,4.999321,52.341536
Oost,33,4.97449,52.354666
Oost,34,4.969595,52.356102
Oost,35,4.969314,52.35561
Oost,36,4.969522,52.355498
Oost,37,4.96831,52.354927
Oost,38,4.96624,52.354164
Oost,39,4.965823,52.354697
Oost,40,4.959697,52.346929
Oost,41,4.953053,52.34037
Oost,42,4.949701,52.338727
Oost,43,4.94986,52.338528
Oost,44,4.949548,52.338379
Oost,45,4.943798,52.336712
Oost,46,4.941721,52.336407
Oost,47,4.941706,52.335533
Oost,48,4.939528,52.335593
