wijk_25,part,order,long,lat
Bijlmer-Centrum,1,0,4.9554018,52.3024971
Bijlmer-Centrum,1,1,4.9524911,52.3057058
Bijlmer-Centrum,1,2,4.94775,52.3105452
Bijlmer-Centrum,1,3,4.9439712,52.3146727
Bijlmer-Centrum,1,4,4.9437174,52.3151382
Bijlmer-Centrum,1,5,4.9429646,52.3157574
Bijlmer-Centrum,1,6,4.9419519,52.3174586
Bijlmer-Centrum,1,7,4.9402566,52.3190627
Bijlmer-Centrum,1,8,4.9403538,52.3191638
Bijlmer-Centrum,1,9,4.9402098,52.3193349
Bijlmer-Centrum,1,10,4.941046,52.3196211
Bijlmer-Centrum,1,11,4.9402082,52.320816
Bijlmer-Centrum,1,12,4.9399299,52.3219376
Bijlmer-Centrum,1,13,4.9376221,52.3233012
Bijlmer-Centrum,1,14,4.9379644,52.324124
Bijlmer-Centrum,1,15,4.9386148,52.3242173
Bijlmer-Centrum,1,16,4.9404967,52.3256794
Bijlmer-Centrum,1,17,4.9476615,52.32814
Bijlmer-Centrum,1,18,4.9526793,52.3226455
Bijlmer-Centrum,1,19,4.9567551,52.3240463
Bijlmer-Centrum,1,20,4.9714204,52.3079964
Bijlmer-Centrum,1,21,4.9554018,52.3024971
Bijlmer-Oost,1,0,4.9882338,52.3137801
Bijlmer-Oost,1,1,4.9714204,52.3079964
Bijlmer-Oost,1,2,4.9567551,52.3240463
Bijlmer-Oost,1,3,4.9675451,52.3277592
Bijlmer-Oost,1,4,4.9702577,52.3261707
Bijlmer-Oost,1,5,4.9711186,52.3266635
Bijlmer-Oost,1,6,4.9718106,52.3274739
Bijlmer-Oost,1,7,4.9740285,52.328908
Bijlmer-Oost,1,8,4.9748281,52.3297018
Bijlmer-Oost,1,9,4.9753101,52.3305626
Bijlmer-Oost,1,10,4.9771387,52.3306436
Bijlmer-Oost,1,11,4.9779496,52.3311614
Bijlmer-Oost,1,12,4.9798024,52.3310041
Bijlmer-Oost,1,13,4.9806863,52.3307618
Bijlmer-Oost,1,14,4.9830848,52.3307691
Bijlmer-Oost,1,15,4.9847921,52.3304819
Bijlmer-Oost,1,16,4.9890483,52.327986
Bijlmer-Oost,1,17,4.9905765,52.3265405
Bijlmer-Oost,1,18,4.9921121,52.3237677
Bijlmer-Oost,1,19,4.9968991,52.3176431
Bijlmer-Oost,1,20,4.9931754,52.3158028
Bijlmer-Oost,1,21,4.9882338,52.3137801
Bijlmer-West,1,0,4.9402098,52.3193349
Bijlmer-West,1,1,4.9395886,52.3191213
Bijlmer-West,1,2,4.9403345,52.3183036
Bijlmer-West,1,3,4.9398331,52.3171217
